model,arm,signal,map,fit,scheme,bin,n,weight,conf_lo,conf_hi,mean_conf,empirical_rate,gap
Gemma-4-31B-it,h7_twin_redacted,A_cosine_to_real,platt,held_out_crossfit,equal_mass,5,11,0.102803738317757,0.6897652355715108,0.7025457686758234,0.6958663100448679,0.8181818181818182,0.12231550813695036
Gemma-4-31B-it,h7_twin_redacted,A_cosine_to_real,platt,held_out_crossfit,equal_mass,6,11,0.102803738317757,0.7028675943138897,0.7158334518350747,0.7094747187956459,0.8181818181818182,0.10870709938617229
Gemma-4-31B-it,h7_twin_redacted,A_cosine_to_real,platt,held_out_crossfit,equal_mass,7,10,0.09345794392523364,0.7165619991242415,0.7321886464785354,0.7240787231076656,0.7,-0.024078723107665678
Gemma-4-31B-it,h7_twin_redacted,A_cosine_to_real,platt,held_out_crossfit,equal_mass,8,10,0.09345794392523364,0.736024744121183,0.7568048678876513,0.7425017255813724,0.9,0.15749827441862763
Gemma-4-31B-it,h7_twin_redacted,A_cosine_to_real,platt,held_out_crossfit,equal_mass,9,10,0.09345794392523364,0.7672262307327816,0.8501727118135932,0.8136947667899973,0.7,-0.11369476678999735
Gemma-4-31B-it,h7_twin_redacted,A_cosine_to_real,platt,naive_full_sample,equal_width,4,2,0.018691588785046728,0.4596495916810222,0.47695108595958297,0.4683003388203026,0.5,0.031699661179697414
Gemma-4-31B-it,h7_twin_redacted,A_cosine_to_real,platt,naive_full_sample,equal_width,5,14,0.1308411214953271,0.5043586963565412,0.5956752221593815,0.5607468337822324,0.5,-0.060746833782232446
Gemma-4-31B-it,h7_twin_redacted,A_cosine_to_real,platt,naive_full_sample,equal_width,6,36,0.3364485981308411,0.6031134183705108,0.6985085356188516,0.6573866470718746,0.6666666666666666,0.009280019594792077
Gemma-4-31B-it,h7_twin_redacted,A_cosine_to_real,platt,naive_full_sample,equal_width,7,47,0.4392523364485981,0.7024380288570866,0.799169670280064,0.7442110903044706,0.7872340425531915,0.04302295224872088
Gemma-4-31B-it,h7_twin_redacted,A_cosine_to_real,platt,naive_full_sample,equal_width,8,8,0.07476635514018691,0.800897693622911,0.8569468255254717,0.8172845053551717,0.625,-0.19228450535517172
