model,arm,role,signal,map,fit,n,n_subjects,base_rate,mean_confidence,ece_equal_width,ece_equal_width_lo,ece_equal_width_hi,ece_equal_mass,ece_equal_mass_lo,ece_equal_mass_hi,brier,brier_constant_baserate,auc,constant_baserate_ece
gemini-3.5-flash-lite,h7_twin_redacted,secondary,A_cosine_to_real,platt,held_out_crossfit,106,21,0.764151,0.759809,0.049655,0.029769,0.166039,0.082729,0.077024,0.212889,0.180179,0.180224,0.588148,0.0
gemini-3.5-flash-lite,h7_twin_redacted,secondary,A_cosine_to_real,platt,naive_full_sample,106,21,0.764151,0.763679,0.055692,0.028388,0.146329,0.109321,0.079955,0.20727,0.176748,0.180224,0.600988,0.0
gemini-3.5-flash-lite,imposter_redacted,secondary,A_cosine_to_real,isotonic,held_out_crossfit,265,86,0.656604,0.645705,0.06809,0.041664,0.126112,0.082774,0.059741,0.142939,0.214254,0.225475,0.650373,0.0
gemini-3.5-flash-lite,imposter_redacted,secondary,A_cosine_to_real,isotonic,naive_full_sample,265,86,0.656604,0.656604,0.0,0.017499,0.079851,0.054602,0.0369,0.100388,0.194951,0.225475,0.699476,0.0
gemini-3.5-flash-lite,imposter_redacted,secondary,A_cosine_to_real,platt,held_out_crossfit,265,86,0.656604,0.65723,0.043228,0.031783,0.110123,0.051198,0.052144,0.132255,0.209223,0.225475,0.664014,0.0
gemini-3.5-flash-lite,imposter_redacted,secondary,A_cosine_to_real,platt,naive_full_sample,265,86,0.656604,0.656566,0.040122,0.033135,0.108864,0.050264,0.049179,0.126854,0.206316,0.225475,0.674751,0.0
gemini-3.5-flash-lite,twin_named,secondary,A_cosine_to_real,isotonic,held_out_crossfit,316,86,0.791139,0.784349,0.090402,0.057028,0.134135,0.082554,0.063667,0.135935,0.175257,0.165238,0.577848,0.0
gemini-3.5-flash-lite,twin_named,secondary,A_cosine_to_real,isotonic,naive_full_sample,316,86,0.791139,0.791139,0.0,0.012722,0.062252,0.036054,0.031089,0.084023,0.15709,0.165238,0.651576,0.0
gemini-3.5-flash-lite,twin_named,secondary,A_cosine_to_real,platt,held_out_crossfit,316,86,0.791139,0.78681,0.026112,0.016264,0.077142,0.055838,0.04724,0.11547,0.165417,0.165238,0.565091,0.0
gemini-3.5-flash-lite,twin_named,secondary,A_cosine_to_real,platt,naive_full_sample,316,86,0.791139,0.791071,0.022762,0.012697,0.072558,0.041775,0.041479,0.106525,0.161522,0.165238,0.625636,0.0
gemini-3.5-flash-lite,twin_named,secondary,B_perturbation_cosine,isotonic,held_out_crossfit,316,86,0.791139,0.776926,0.09935,0.069563,0.147469,0.128,0.073251,0.146354,0.169343,0.165238,0.571909,0.0
gemini-3.5-flash-lite,twin_named,secondary,B_perturbation_cosine,isotonic,naive_full_sample,316,86,0.791139,0.791139,0.0,0.004477,0.056901,0.041262,0.032291,0.086352,0.155662,0.165238,0.651697,0.0
gemini-3.5-flash-lite,twin_named,secondary,B_perturbation_cosine,platt,held_out_crossfit,316,86,0.791139,0.785577,0.048207,0.022557,0.09524,0.078876,0.07222,0.142959,0.170029,0.165238,0.536788,0.0
gemini-3.5-flash-lite,twin_named,secondary,B_perturbation_cosine,platt,naive_full_sample,316,86,0.791139,0.791071,0.03752,0.016547,0.086649,0.067775,0.05272,0.123742,0.162406,0.165238,0.614424,0.0
gemini-3.5-flash-lite,twin_redacted,PRIMARY,A_cosine_to_real,isotonic,held_out_crossfit,313,88,0.779553,0.762624,0.064932,0.040413,0.122023,0.082827,0.053035,0.135727,0.183365,0.17185,0.644334,0.0
gemini-3.5-flash-lite,twin_redacted,PRIMARY,A_cosine_to_real,isotonic,naive_full_sample,313,88,0.779553,0.779553,0.0,0.016207,0.071082,0.036516,0.032314,0.087815,0.158023,0.17185,0.684515,0.0
gemini-3.5-flash-lite,twin_redacted,PRIMARY,A_cosine_to_real,platt,held_out_crossfit,313,88,0.779553,0.761806,0.059385,0.04154,0.114164,0.066042,0.060449,0.143141,0.17383,0.17185,0.643146,0.0
gemini-3.5-flash-lite,twin_redacted,PRIMARY,A_cosine_to_real,platt,naive_full_sample,313,88,0.779553,0.779489,0.020563,0.01869,0.080739,0.065117,0.048579,0.121954,0.16461,0.17185,0.656153,0.0
gemini-3.5-flash-lite,twin_redacted,PRIMARY,B_perturbation_cosine,isotonic,held_out_crossfit,313,88,0.779553,0.745907,0.109698,0.063743,0.173005,0.091747,0.068424,0.174051,0.210225,0.17185,0.579146,0.0
gemini-3.5-flash-lite,twin_redacted,PRIMARY,B_perturbation_cosine,isotonic,naive_full_sample,313,88,0.779553,0.779553,0.0,0.006789,0.064655,0.049262,0.035916,0.095888,0.161537,0.17185,0.633316,0.0
gemini-3.5-flash-lite,twin_redacted,PRIMARY,B_perturbation_cosine,platt,held_out_crossfit,313,88,0.779553,0.761854,0.056132,0.032117,0.10955,0.104583,0.075959,0.154994,0.177194,0.17185,0.589095,0.0
gemini-3.5-flash-lite,twin_redacted,PRIMARY,B_perturbation_cosine,platt,naive_full_sample,313,88,0.779553,0.779489,0.014349,0.011472,0.068125,0.063212,0.055057,0.129644,0.168787,0.17185,0.584878,0.0
gemini-3.5-flash-lite,zeroinfo_named,secondary,A_cosine_to_real,isotonic,held_out_crossfit,326,87,0.730061,0.72963,0.069934,0.038828,0.122217,0.077701,0.049612,0.126671,0.195795,0.197072,0.589859,0.0
gemini-3.5-flash-lite,zeroinfo_named,secondary,A_cosine_to_real,isotonic,naive_full_sample,326,87,0.730061,0.730061,0.0,0.011632,0.070597,0.034512,0.035232,0.093947,0.18621,0.197072,0.64417,0.0
gemini-3.5-flash-lite,zeroinfo_named,secondary,A_cosine_to_real,platt,held_out_crossfit,326,87,0.730061,0.729002,0.032543,0.018883,0.088597,0.087002,0.056273,0.136639,0.192782,0.197072,0.613063,0.0
gemini-3.5-flash-lite,zeroinfo_named,secondary,A_cosine_to_real,platt,naive_full_sample,326,87,0.730061,0.730019,0.031333,0.020013,0.087145,0.074322,0.055386,0.136077,0.192733,0.197072,0.612061,0.0
gemini-3.5-flash-lite,zeroinfo_redacted,secondary,A_cosine_to_real,isotonic,held_out_crossfit,309,87,0.634304,0.635802,0.048284,0.034415,0.113433,0.050362,0.047819,0.128456,0.230498,0.231962,0.611568,0.0
gemini-3.5-flash-lite,zeroinfo_redacted,secondary,A_cosine_to_real,isotonic,naive_full_sample,309,87,0.634304,0.634304,0.0,0.01681,0.077532,0.04702,0.038627,0.10273,0.213349,0.231962,0.653197,0.0
gemini-3.5-flash-lite,zeroinfo_redacted,secondary,A_cosine_to_real,platt,held_out_crossfit,309,87,0.634304,0.632824,0.016535,0.022808,0.088391,0.063857,0.05068,0.132,0.221966,0.231962,0.631299,0.0
gemini-3.5-flash-lite,zeroinfo_redacted,secondary,A_cosine_to_real,platt,naive_full_sample,309,87,0.634304,0.634281,0.03179,0.024343,0.098094,0.043711,0.050809,0.129061,0.221332,0.231962,0.63315,0.0
